txn_id,customer_id,product_id,ts,date,month,country,region,category,status,currency,amount,amount_usd
t0009825,c03290,p0063,2025-01-01 00:49:00+00:00,2025-01-01,2025-01,PE,LATAM,toys,refunded,USD,9.16,9.16
t0014946,c03486,p0008,2025-01-01 02:26:00+00:00,2025-01-01,2025-01,CA,,toys,refunded,EUR,27.35,29.538000000000004
t0014336,c01089,p0031,2025-01-01 02:55:00+00:00,2025-01-01,2025-01,ES,EU,home,paid,USD,35.37,35.37
t0016341,c01132,p0115,2025-01-01 04:39:00+00:00,2025-01-01,2025-01,IT,EU,home,paid,USD,44.48,44.48
t0005937,c01213,p0023,2025-01-01 07:04:00+00:00,2025-01-01,2025-01,CA,,books,paid,USD,12.19,12.19
t0006753,c01691,p0062,2025-01-01 09:07:00+00:00,2025-01-01,2025-01,MX,LATAM,books,paid,USD,12.74,12.74
t0011107,c02337,p0006,2025-01-01 09:07:00+00:00,2025-01-01,2025-01,CA,,electronics,paid,MXN,282.15,16.3647
t0009819,c03095,p0085,2025-01-01 09:09:00+00:00,2025-01-01,2025-01,CA,,books,paid,MXN,10.47,0.60726
t0021205,c00224,p0041,2025-01-01 09:13:00+00:00,2025-01-01,2025-01,CO,LATAM,electronics,paid,USD,92.44,92.44
t0008505,c02996,p0081,2025-01-01 09:21:00+00:00,2025-01-01,2025-01,,,toys,paid,USD,19.2,19.2
t0014183,c01003,p0079,2025-01-01 09:23:00+00:00,2025-01-01,2025-01,CL,LATAM,books,refunded,USD,11.94,11.94
t0010858,c03215,p0069,2025-01-01 09:25:00+00:00,2025-01-01,2025-01,IT,EU,electronics,paid,BRL,161.22,29.019599999999997
t0020713,c03140,p0080,2025-01-01 09:27:00+00:00,2025-01-01,2025-01,PE,LATAM,electronics,paid,EUR,219.76,237.3408
t0002002,c01387,p0002,2025-01-01 09:33:00+00:00,2025-01-01,2025-01,PT,EU,sports,refunded,USD,169.47,169.47
t0007016,c01832,p0102,2025-01-01 09:51:00+00:00,2025-01-01,2025-01,PT,EU,home,paid,EUR,19.33,20.8764
t0004779,c02143,p0012,2025-01-01 10:07:00+00:00,2025-01-01,2025-01,US,,sports,paid,MXN,68.97,4.00026
t0002338,c02236,p0020,2025-01-01 10:30:00+00:00,2025-01-01,2025-01,AR,LATAM,books,paid,USD,13.61,13.61
t0017714,c03249,p0071,2025-01-01 10:53:00+00:00,2025-01-01,2025-01,SE,EU,beauty,paid,BRL,59.1,10.638
t0008721,c01356,p0041,2025-01-01 11:03:00+00:00,2025-01-01,2025-01,FR,EU,electronics,paid,USD,391.69,391.69
t0005112,c02586,p0110,2025-01-01 11:04:00+00:00,2025-01-01,2025-01,CO,LATAM,electronics,paid,USD,333.95,333.95
t0010046,c00881,p0107,2025-01-01 11:16:00+00:00,2025-01-01,2025-01,IT,EU,clothing,paid,USD,40.47,40.47
t0004129,c02126,p0062,2025-01-01 11:29:00+00:00,2025-01-01,2025-01,CA,,books,paid,EUR,24.42,26.373600000000003
t0007879,c03033,p0061,2025-01-01 11:37:00+00:00,2025-01-01,2025-01,ES,EU,clothing,paid,USD,33.22,33.22
t0021840,c00289,p0108,2025-01-01 11:59:00+00:00,2025-01-01,2025-01,MX,LATAM,beauty,paid,EUR,95.33,102.9564
t0000747,c01956,p0093,2025-01-01 12:10:00+00:00,2025-01-01,2025-01,DE,EU,beauty,cancelled,USD,21.04,21.04
t0010807,c00597,p0001,2025-01-01 12:17:00+00:00,2025-01-01,2025-01,US,,books,paid,USD,26.6,26.6
t0008657,c03011,p0037,2025-01-01 12:35:00+00:00,2025-01-01,2025-01,IT,EU,books,refunded,BRL,24.81,4.4658
t0008634,c00007,p0118,2025-01-01 12:59:00+00:00,2025-01-01,2025-01,CO,LATAM,electronics,refunded,EUR,398.56,430.44480000000004
t0016755,c02224,p0109,2025-01-01 13:04:00+00:00,2025-01-01,2025-01,FR,EU,books,paid,USD,27.32,27.32
t0009086,c01272,p0097,2025-01-01 13:13:00+00:00,2025-01-01,2025-01,CL,LATAM,clothing,paid,EUR,63.55,68.634
t0020848,c02137,p0060,2025-01-01 13:49:00+00:00,2025-01-01,2025-01,,,books,paid,BRL,9.62,1.7315999999999998
t0020667,c01013,p0022,2025-01-01 13:51:00+00:00,2025-01-01,2025-01,MX,LATAM,electronics,paid,USD,93.39,93.39
t0007540,c02628,p0006,2025-01-01 14:27:00+00:00,2025-01-01,2025-01,US,,electronics,paid,EUR,111.37,120.27960000000002
t0007863,c02080,p0064,2025-01-01 14:42:00+00:00,2025-01-01,2025-01,US,,books,paid,USD,21.7,21.7
t0016184,c01012,p0027,2025-01-01 14:54:00+00:00,2025-01-01,2025-01,US,,electronics,paid,USD,291.58,291.58
t0016871,c02007,p0070,2025-01-01 15:25:00+00:00,2025-01-01,2025-01,US,,sports,paid,USD,62.1,62.1
t0017630,c03281,p0077,2025-01-01 15:38:00+00:00,2025-01-01,2025-01,US,,beauty,paid,USD,47.64,47.64
t0019697,c02568,p0068,2025-01-01 15:48:00+00:00,2025-01-01,2025-01,MX,LATAM,beauty,refunded,USD,44.9,44.9
t0013255,c00620,p0104,2025-01-01 16:36:00+00:00,2025-01-01,2025-01,IT,EU,clothing,paid,USD,49.82,49.82
t0015710,c01012,p0035,2025-01-01 16:59:00+00:00,2025-01-01,2025-01,US,,sports,paid,USD,72.76,72.76
t0002832,c02026,p0058,2025-01-01 17:14:00+00:00,2025-01-01,2025-01,CA,,electronics,cancelled,USD,234.5,234.5
t0005800,c02060,p0003,2025-01-01 17:43:00+00:00,2025-01-01,2025-01,MX,LATAM,beauty,refunded,USD,88.06,88.06
t0013299,c01750,p0058,2025-01-01 18:02:00+00:00,2025-01-01,2025-01,PT,EU,electronics,paid,EUR,162.06,175.02480000000003
t0012928,c03088,p0056,2025-01-01 18:06:00+00:00,2025-01-01,2025-01,CL,LATAM,sports,paid,MXN,130.58,7.573640000000001
t0017474,c01995,p0007,2025-01-01 18:21:00+00:00,2025-01-01,2025-01,AR,LATAM,electronics,paid,EUR,306.15,330.642
t0005726,c03037,p0033,2025-01-01 18:25:00+00:00,2025-01-01,2025-01,US,,electronics,paid,MXN,211.16,12.24728
t0018222,c00654,p0068,2025-01-01 18:43:00+00:00,2025-01-01,2025-01,DE,EU,beauty,paid,USD,20.77,20.77
t0002735,c02153,p0115,2025-01-01 19:03:00+00:00,2025-01-01,2025-01,CL,LATAM,home,paid,USD,62.54,62.54
t0014712,c00099,p0046,2025-01-01 19:19:00+00:00,2025-01-01,2025-01,DE,EU,home,paid,USD,127.27,127.27
t0016597,c02132,p0035,2025-01-01 19:44:00+00:00,2025-01-01,2025-01,BR,LATAM,sports,paid,MXN,139.11,8.068380000000001
t0000623,c02179,p0093,2025-01-01 19:47:00+00:00,2025-01-01,2025-01,BR,LATAM,beauty,refunded,USD,92.83,92.83
t0011880,c02471,p0061,2025-01-01 19:48:00+00:00,2025-01-01,2025-01,FR,EU,clothing,paid,EUR,46.2,49.89600000000001
t0003256,c01280,p0100,2025-01-01 20:30:00+00:00,2025-01-01,2025-01,BR,LATAM,electronics,cancelled,USD,261.68,261.68
t0016052,c00912,p0119,2025-01-01 20:54:00+00:00,2025-01-01,2025-01,ES,EU,toys,paid,EUR,39.52,42.6816
t0000943,c02436,p0014,2025-01-01 20:54:00+00:00,2025-01-01,2025-01,MX,LATAM,books,paid,EUR,16.61,17.9388
t0011551,c01565,p0004,2025-01-01 21:00:00+00:00,2025-01-01,2025-01,BR,LATAM,home,refunded,EUR,43.69,47.1852
t0003614,c00304,p0100,2025-01-01 21:01:00+00:00,2025-01-01,2025-01,PT,EU,electronics,paid,USD,132.43,132.43
t0010210,c01744,p0093,2025-01-01 21:05:00+00:00,2025-01-01,2025-01,CO,LATAM,beauty,paid,USD,128.36,128.36
t0001666,c01758,p0016,2025-01-01 21:07:00+00:00,2025-01-01,2025-01,MX,LATAM,electronics,cancelled,USD,232.48,232.48
t0015657,c03356,p0104,2025-01-01 21:32:00+00:00,2025-01-01,2025-01,MX,LATAM,clothing,paid,EUR,44.46,48.0168
t0012531,c00886,p0105,2025-01-01 21:47:00+00:00,2025-01-01,2025-01,ES,EU,toys,paid,USD,20.5,20.5
t0018238,c02828,p0005,2025-01-01 21:54:00+00:00,2025-01-01,2025-01,BR,LATAM,electronics,paid,MXN,115.28,6.686240000000001
t0010008,c01238,p0013,2025-01-01 21:55:00+00:00,2025-01-01,2025-01,US,,toys,paid,BRL,22.46,4.0428
t0017413,c02203,p0082,2025-01-01 22:31:00+00:00,2025-01-01,2025-01,CA,,home,paid,EUR,87.65,94.662
t0005626,c02031,p0109,2025-01-01 22:39:00+00:00,2025-01-01,2025-01,US,,books,paid,MXN,23.39,1.3566200000000002
t0013651,c01879,p0020,2025-01-01 22:49:00+00:00,2025-01-01,2025-01,US,,books,paid,USD,72.02,72.02
t0012834,c00702,p0097,2025-01-01 22:54:00+00:00,2025-01-01,2025-01,CL,LATAM,clothing,cancelled,USD,45.63,45.63
t0012656,c01939,p0033,2025-01-01 23:38:00+00:00,2025-01-01,2025-01,DE,EU,electronics,paid,USD,751.8,751.8
t0018918,c03177,p0085,2025-01-02 00:33:00+00:00,2025-01-02,2025-01,NL,EU,books,paid,USD,29.17,29.17
t0003814,c02894,p0011,2025-01-02 00:42:00+00:00,2025-01-02,2025-01,CA,,electronics,paid,BRL,189.84,34.1712
t0021175,c00009,p0048,2025-01-02 00:55:00+00:00,2025-01-02,2025-01,BR,LATAM,clothing,paid,EUR,25.38,27.4104
t0000171,c02661,p0014,2025-01-02 00:58:00+00:00,2025-01-02,2025-01,SE,EU,books,refunded,BRL,18.85,3.3930000000000002
t0005340,c01886,p0074,2025-01-02 01:54:00+00:00,2025-01-02,2025-01,DE,EU,beauty,paid,BRL,70.14,12.6252
t0000013,c00308,p0081,2025-01-02 02:12:00+00:00,2025-01-02,2025-01,CA,,toys,paid,USD,20.98,20.98
t0001980,c02519,p0078,2025-01-02 03:16:00+00:00,2025-01-02,2025-01,US,,electronics,paid,USD,324.75,324.75
t0017365,c00776,p0071,2025-01-02 03:56:00+00:00,2025-01-02,2025-01,FR,EU,beauty,paid,MXN,25.97,1.50626
t0020787,c03341,p0039,2025-01-02 05:05:00+00:00,2025-01-02,2025-01,FR,EU,home,paid,MXN,73.75,4.2775
t0004163,c02178,p0106,2025-01-02 05:14:00+00:00,2025-01-02,2025-01,US,,books,cancelled,USD,10.46,10.46
t0014956,c01411,p0043,2025-01-02 05:17:00+00:00,2025-01-02,2025-01,CL,LATAM,electronics,cancelled,USD,82.78,82.78
t0014736,c01928,p0051,2025-01-02 05:22:00+00:00,2025-01-02,2025-01,NL,EU,sports,paid,USD,201.8,201.8
t0011935,c03242,p0083,2025-01-02 07:09:00+00:00,2025-01-02,2025-01,US,,books,paid,USD,12.89,12.89
t0007712,c00959,p0034,2025-01-02 08:28:00+00:00,2025-01-02,2025-01,IT,EU,sports,paid,USD,89.45,89.45
t0020959,c00442,p0077,2025-01-02 08:29:00+00:00,2025-01-02,2025-01,ES,EU,beauty,paid,USD,27.83,27.83
t0004954,c01981,p0096,2025-01-02 08:43:00+00:00,2025-01-02,2025-01,CA,,clothing,paid,EUR,17.47,18.8676
t0001675,c01113,p0098,2025-01-02 09:01:00+00:00,2025-01-02,2025-01,CA,,clothing,paid,USD,48.39,48.39
t0013357,c03315,p0023,2025-01-02 09:10:00+00:00,2025-01-02,2025-01,CO,LATAM,books,paid,EUR,12.29,13.2732
t0011817,c03073,p0077,2025-01-02 09:16:00+00:00,2025-01-02,2025-01,US,,beauty,cancelled,MXN,125.34,7.26972
t0017383,c03306,p0097,2025-01-02 09:17:00+00:00,2025-01-02,2025-01,DE,EU,clothing,refunded,USD,133.06,133.06
t0004659,c02476,p0029,2025-01-02 09:20:00+00:00,2025-01-02,2025-01,MX,LATAM,home,refunded,USD,76.19,76.19
t0014658,c00659,p0098,2025-01-02 09:28:00+00:00,2025-01-02,2025-01,US,,clothing,cancelled,USD,50.26,50.26
t0003231,c02238,p0025,2025-01-02 09:29:00+00:00,2025-01-02,2025-01,NL,EU,clothing,paid,USD,34.52,34.52
t0002240,c00809,p0025,2025-01-02 09:52:00+00:00,2025-01-02,2025-01,CL,LATAM,clothing,cancelled,EUR,33.51,36.1908
t0013802,c00891,p0044,2025-01-02 09:52:00+00:00,2025-01-02,2025-01,US,,toys,paid,USD,9.08,9.08
t0013939,c00754,p0107,2025-01-02 10:05:00+00:00,2025-01-02,2025-01,CL,LATAM,clothing,refunded,EUR,46.06,49.744800000000005
t0003912,c03011,p0093,2025-01-02 10:10:00+00:00,2025-01-02,2025-01,IT,EU,beauty,refunded,EUR,19.23,20.768400000000003
t0019478,c00030,p0073,2025-01-02 10:12:00+00:00,2025-01-02,2025-01,MX,LATAM,electronics,refunded,MXN,120.54,6.991320000000001
t0008707,c02642,p0061,2025-01-02 10:20:00+00:00,2025-01-02,2025-01,CA,,clothing,cancelled,MXN,29.77,1.72666
t0018369,c03366,p0014,2025-01-02 10:25:00+00:00,2025-01-02,2025-01,BR,LATAM,books,refunded,EUR,37.29,40.2732
t0004115,c02332,p0032,2025-01-02 10:28:00+00:00,2025-01-02,2025-01,US,,electronics,paid,USD,206.49,206.49
t0004066,c02674,p0084,2025-01-02 10:36:00+00:00,2025-01-02,2025-01,ES,EU,electronics,cancelled,BRL,300.71,54.12779999999999
t0021816,c00874,p0092,2025-01-02 11:10:00+00:00,2025-01-02,2025-01,DE,EU,beauty,refunded,EUR,34.92,37.71360000000001
t0011284,c02276,p0092,2025-01-02 11:17:00+00:00,2025-01-02,2025-01,NL,EU,beauty,paid,EUR,72.8,78.624
t0012710,c03189,p0068,2025-01-02 11:21:00+00:00,2025-01-02,2025-01,BR,LATAM,beauty,paid,USD,80.99,80.99
t0020088,c02229,p0102,2025-01-02 11:31:00+00:00,2025-01-02,2025-01,DE,EU,home,paid,USD,85.96,85.96
t0015957,c01754,p0067,2025-01-02 11:45:00+00:00,2025-01-02,2025-01,CO,LATAM,electronics,paid,EUR,229.8,248.18400000000003
t0016350,c02117,p0097,2025-01-02 12:13:00+00:00,2025-01-02,2025-01,IT,EU,clothing,cancelled,MXN,91.57,5.3110599999999994
t0019612,c00419,p0036,2025-01-02 12:16:00+00:00,2025-01-02,2025-01,CA,,beauty,refunded,USD,50.03,50.03
t0003392,c02887,p0086,2025-01-02 12:41:00+00:00,2025-01-02,2025-01,US,,books,paid,USD,9.42,9.42
t0020256,c00127,p0090,2025-01-02 13:10:00+00:00,2025-01-02,2025-01,MX,LATAM,clothing,paid,MXN,54.4,3.1552000000000002
t0015589,c01402,p0105,2025-01-02 13:31:00+00:00,2025-01-02,2025-01,ES,EU,toys,paid,EUR,15.72,16.977600000000002
t0014527,c00277,p0089,2025-01-02 13:36:00+00:00,2025-01-02,2025-01,IT,EU,toys,paid,USD,13.83,13.83
t0008963,c02659,p0103,2025-01-02 14:33:00+00:00,2025-01-02,2025-01,FR,EU,books,paid,USD,23.13,23.13
t0007779,c00670,p0073,2025-01-02 15:00:00+00:00,2025-01-02,2025-01,IT,EU,electronics,paid,USD,85.08,85.08
