date,region,country,category,total_usd,n
2025-01-01,EU,DE,beauty,20.77,1
2025-01-01,EU,DE,electronics,751.8,1
2025-01-01,EU,DE,home,127.27,1
2025-01-01,EU,ES,clothing,33.22,1
2025-01-01,EU,ES,home,35.37,1
2025-01-01,EU,ES,toys,63.1816,2
2025-01-01,EU,FR,books,27.32,1
2025-01-01,EU,FR,clothing,49.89600000000001,1
2025-01-01,EU,FR,electronics,391.69,1
2025-01-01,EU,IT,clothing,90.28999999999999,2
2025-01-01,EU,IT,electronics,29.019599999999997,1
2025-01-01,EU,IT,home,44.48,1
2025-01-01,EU,PT,electronics,307.45480000000003,2
2025-01-01,EU,PT,home,20.8764,1
2025-01-01,EU,SE,beauty,10.638,1
2025-01-01,LATAM,AR,books,13.61,1
2025-01-01,LATAM,AR,electronics,330.642,1
2025-01-01,LATAM,BR,electronics,6.686240000000001,1
2025-01-01,LATAM,BR,sports,8.068380000000001,1
2025-01-01,LATAM,CL,clothing,68.634,1
2025-01-01,LATAM,CL,home,62.54,1
2025-01-01,LATAM,CL,sports,7.573640000000001,1
2025-01-01,LATAM,CO,beauty,128.36,1
2025-01-01,LATAM,CO,electronics,426.39,2
2025-01-01,LATAM,MX,beauty,102.9564,1
2025-01-01,LATAM,MX,books,30.678800000000003,2
2025-01-01,LATAM,MX,clothing,48.0168,1
2025-01-01,LATAM,MX,electronics,93.39,1
2025-01-01,LATAM,PE,electronics,237.3408,1
2025-01-02,EU,DE,beauty,79.11519999999999,2
2025-01-02,EU,DE,home,85.96,1
2025-01-02,EU,ES,beauty,27.83,1
2025-01-02,EU,ES,books,15.31,1
2025-01-02,EU,ES,clothing,92.58,1
2025-01-02,EU,ES,electronics,70.9,1
2025-01-02,EU,ES,home,105.73,1
2025-01-02,EU,ES,toys,16.977600000000002,1
2025-01-02,EU,FR,beauty,54.96626,2
2025-01-02,EU,FR,books,23.13,1
2025-01-02,EU,FR,clothing,28.27,1
2025-01-02,EU,FR,electronics,287.5192,2
2025-01-02,EU,FR,home,4.2775,1
2025-01-02,EU,IT,clothing,59.45,1
2025-01-02,EU,IT,electronics,85.08,1
2025-01-02,EU,IT,sports,89.45,1
2025-01-02,EU,IT,toys,13.83,1
2025-01-02,EU,NL,beauty,78.624,1
2025-01-02,EU,NL,books,29.17,1
2025-01-02,EU,NL,clothing,34.52,1
2025-01-02,EU,NL,sports,201.8,1
2025-01-02,EU,SE,clothing,1164.7476000000001,1
2025-01-02,LATAM,AR,clothing,76.9068,1
2025-01-02,LATAM,BR,beauty,80.99,1
2025-01-02,LATAM,BR,books,49.010400000000004,2
2025-01-02,LATAM,BR,clothing,27.4104,1
2025-01-02,LATAM,BR,electronics,218.72,1
2025-01-02,LATAM,CL,toys,24.5268,1
2025-01-02,LATAM,CO,books,13.2732,1
2025-01-02,LATAM,CO,electronics,248.18400000000003,1
2025-01-02,LATAM,MX,clothing,3.1552000000000002,1
2025-01-02,LATAM,MX,electronics,198.9,1
2025-01-02,LATAM,PE,home,41.5368,1
2025-01-03,EU,DE,electronics,277.94,1
2025-01-03,EU,ES,clothing,152.99,3
2025-01-03,EU,ES,sports,27.788400000000003,1
2025-01-03,EU,FR,home,292.91,1
2025-01-03,EU,IT,clothing,96.9804,2
2025-01-03,EU,NL,home,37.36,1
2025-01-03,EU,NL,sports,12.662999999999998,1
2025-01-03,EU,PT,beauty,61.5708,1
2025-01-03,EU,SE,sports,42.41160000000001,1
2025-01-03,LATAM,AR,clothing,3.7476,1
2025-01-03,LATAM,AR,electronics,9.164579999999999,1
2025-01-03,LATAM,AR,home,151.76,1
2025-01-03,LATAM,BR,electronics,33.003,1
